Image ID,Creator,Short Title,Created:from,Created:to,Uploaded,Image type,Technique,Language,Distribution at time of creation,(Digital) source,Source ID (if applicable),Country of origin,Exact location,Holding institution,Collection,Other copyright holders,Related images,ImgDB ID,Metadata editor
1270,french school,A man of the Fronde exhorting the Parisians to rise up against Cardinal Mazarin's tyranny on 6th Jan,1649-01-01,1649-12-31,2/24/2016,1,1,6,XIR239589,https://www.bridgemanimages.com/fr/asset/239589/french-school-17th-century/a-man-of-the-fronde-exhorting-the-parisians-to-rise-up-against-cardinal-mazarin-s-tyranny-on-6th-january-1649-engraving-b-w-p,,FRA,France,Bibliothèque nationale de France,,,https://www.bridgemanimages.com/fr/asset/239589/french-school-17th-century/a-man-of-the-fronde-exhorting-the-parisians-to-rise-up-against-cardinal-mazarin-s-tyranny-on-6th-january-1649-engraving-b-w-photo,imgs/1649_FRA__1270.jpg,gaumy
1271,Unknown,defenestration of Prague,1600-01-01,1700-12-31,2/24/2016,1,1,13,XJF128652,https://www.bridgemanimages.com/fr/asset/128652//the-defenestration-of-prague-in-1618-engraving-b-w-photo,,HUN,,Private collection,,,,imgs/1600_HUN__1271.jpg,gaumy
1272,school of Zacharias Dolendo,The Execution of Twenty Noble Leaders including Counts Egmont and Horn by the Duke of Alva in Brusse,1570-01-01,1600-12-31,2/24/2016,1,1,2,STC88465,https://www.bridgemanimages.com/fr/asset/88465/dolendo-zacharias-1561-c-1604-school-of/the-execution-of-twenty-noble-leaders-including-counts-egmont-and-horn-by-the-duke-of-alva-in-brussels-1568-engra,,NLD,Dutch,Private collection,,,https://www.bridgemanimages.com/fr/asset/88465/dolendo-zacharias-1561-c-1604-school-of/the-execution-of-twenty-noble-leaders-including-counts-egmont-and-horn-by-the-duke-of-alva-in-brussels-1568-engraving,imgs/1570_NLD__1272.jpg,gaumy
1273,Franz Hogenberg,Massacre of Naerden / 30th november 1572,1570-01-01,1590-12-31,2/24/2016,1,1,3,XIR212851,https://www.bridgemanimages.com/fr/asset/212851/hogenberg-franz-1540-c-1590/massacre-in-flanders-during-the-government-of-fernando-alvarez-de-toledo-1508-82-duke-of-alba-30th-november-1572-coloured-en,,FRA,Netherlands,Bibliothèque nationale de France,,,https://www.bridgemanimages.com/fr/asset/212851/hogenberg-franz-1540-c-1590/massacre-in-flanders-during-the-government-of-fernando-alvarez-de-toledo-1508-82-duke-of-alba-30th-november-1572-coloured-engraving,imgs/1570_FRA__1273.jpg,gaumy
1274,German School,the battle of White Mountain / 8th november 1620,1600-01-01,1700-12-31,2/24/2016,1,1,2,XIR153759,https://www.bridgemanimages.com/fr/asset/153759/german-school-17th-century/the-battle-of-white-mountain-weissen-berg-8th-november-1620-engraving,,DEU,Germany,Bibliothèque nationale de France,,,,imgs/1600_DEU__1274.jpg,gaumy
1275,french school,Execution of Jacquerie Leaders,1300-01-01,1400-12-31,2/24/2016,2,5,1,Royal 20 C.VII fol.134vBL243112,https://www.bridgemanimages.com/fr/asset/243112,,FRA,France,British Library,,,,imgs/1300_FRA__1275.jpg,gaumy
1276,school of Zacharias Dolendo,Tournament Held in Brussels by the Spanish to Boost the Soldiers,1570-01-01,1600-12-31,2/24/2016,1,1,3,STC88466,https://www.bridgemanimages.com/fr/asset/88466,,NLD,Dutch,Private collection,,,,imgs/1570_NLD__1276.jpg,gaumy
1277,school of Zacharias Dolendo,The Execution of Spell of Brabant,1570-01-01,1590-12-31,2/24/2016,1,1,3,STC88467,https://www.bridgemanimages.com/fr/asset/88467,,NLD,Dutch,Private collection,,,,imgs/1570_NLD__1277.jpg,gaumy
1278,school of Zacharias Dolendo,The Siege of Louvain and the Heroism of Harman Reuter Against the Spanish Forces / 1571,1570-01-01,1600-12-31,2/24/2016,1,1,3,STC88468,https://www.bridgemanimages.com/fr/asset/88468,,NLD,Dutch,Private collection,,,,imgs/1570_NLD__1278.jpg,gaumy
1279,German School,defenestration of Prague,1600-01-01,1700-12-31,2/24/2016,1,1,2,XIR153756,https://www.bridgemanimages.com/fr/asset/153756,,FRA,Germany,Bibliothèque nationale de France,,,,imgs/1600_FRA__1279.jpg,gaumy
